diseaseLabel,specialtyLabel
uncombable hair syndrome,medical genetics
myelitis,neurology
alcoholic liver disease,gastroenterology
aphakia,medical genetics
anorchia,urology
anorchia,medical genetics
anorchia,pediatric surgery
Eisenmenger's syndrome,medical genetics
myxoma,oncology
Chemotherapy-induced acral erythema,dermatology
May–Thurner syndrome,cardiology
photodermatitis,immunology
photodermatitis,dermatology
Hughes-Stovin syndrome,immunology
keratoconus,ophthalmology
keratoconus,optometry
torticollis,rheumatology
Apert syndrome,medical genetics
alpha-1-antitrypsin deficiency,endocrinology
arachnoid cyst,neurosurgery
preterm birth,pediatrics
hip dysplasia,orthopedics
stimulant psychosis,psychiatry
Lujan–Fryns syndrome,psychiatry
argyria,emergency medicine
Argyll Robertson pupil,neurology
flat feet problems,podiatry
mallet finger,plastic surgery
mallet finger,emergency medicine
eosinophilic granuloma,hematology
torsion dystonia,neurology
radiation burn,dermatology
Neu-Laxova syndrome,medical genetics
nephrogenic systemic fibrosis,dermatology
pulmonary sequestration,medical genetics
fibromuscular dysplasia,cardiology
dopamine-responsive dystonia,neurology
dysosmia,neurology
subarachnoid hemorrhage,neurology
subarachnoid hemorrhage,neurosurgery
subarachnoid hemorrhage,emergency medicine
psychogenic pain,psychiatry
panic attack,psychiatry
panic attack,clinical psychology
spinal disc herniation,neurosurgery
arteriovenous fistula,cardiology
Fixed drug reaction,dermatology
soft-tissue sarcoma,Oncology
Erythema induratum,infectious diseases
paroxysmal cold hemoglobinuria,hematology
aspermia,urology
aspermia,reproductive medicine
tennis elbow,physical medicine and rehabilitation
asplenia,medical genetics
Condyloma,infectious diseases
Jarisch-Herxheimer reaction,emergency medicine
lordosis,rheumatology
lordosis,medical genetics
phakomatosis,medical genetics
atelectasis,pulmonology
respiratory tract infection,infectious diseases
catarrh,pulmonology
glucagonoma,oncology
frontal lobe disorder,psychiatry
azotemia,obstetrics and gynaecology
azotemia,urology
sirenomelia,medical genetics
intertrigo,dermatology
Babinski–Nageotte syndrome,neurology
basal-cell carcinoma,oncology
basal-cell carcinoma,dermatology
stress-related disorders,psychiatry
dysmenorrhea,family medicine
Benedikt syndrome,neurology
hyponatremia,nephrology
bone cyst,rheumatology
gait abnormality,neurology
photokeratitis,ophthalmology
opportunistic infection,infectious diseases
adenovirus infection,pediatrics
adenovirus infection,infectious diseases
leukoplakia,oral medicine
irritable bowel syndrome,gastroenterology
cholesterol embolism,cardiology
premature heart beat,cardiology
ventricular fibrillation,cardiology
De Quervain's thyroiditis,endocrinology
postpartum thyroiditis,obstetrics
frontotemporal lobar degeneration,neurology
frontotemporal lobar degeneration,endocrinology
progressive nonfluent aphasia,neurology
recurrent miscarriage,obstetrics
miscarriage,obstetrics
serum sickness,emergency medicine
carcinoma,oncology
rabies,surgery
rabies,infectious diseases
hemorrhoid,general surgery
arterial hypertension,family medicine
meningitis,neurology
meningitis,infectious diseases
diabetic foot,cardiology
diabetic foot,endocrinology
diabetic foot,dermatology
thyroid nodule,endocrinology
ventricular tachycardia,cardiology
bone fracture,osteology
snakebite,emergency medicine
albinism,endocrinology
wart,dermatology
hypoxia,pulmonology
hypoxia,medical toxicology
spasticity,neurology
medullary sponge kidney,nephrology
medullary sponge kidney,medical genetics
vascular malformation,medical genetics
febrile seizure,neurology
febrile seizure,pediatrics
febrile seizure,emergency medicine
dyslexia,neuropsychology
dyslexia,pediatrics
gout,internal medicine
gout,rheumatology
migraine,neurology
hemophilia,hematology
Ancylostoma duodenale ancylostomiasis,parasitology
Ancylostoma duodenale ancylostomiasis,infectious diseases
Ancylostoma duodenale ancylostomiasis,tropical medicine
traveler's diarrhea,infectious diseases
brain abscess,neurology
brain abscess,infectious diseases
floater,ophthalmology
bleeding gums,oral and maxillofacial surgery
Alien hand syndrome,neurology
toothache,gastroenterology
hysteria,psychiatry
hysteria,psychology
liver cirrhosis,gastroenterology
liver cirrhosis,hepatology
tobacco use disorder,psychiatry
tobacco use disorder,psychology
tobacco use disorder,medical toxicology
leptospirosis,infectious diseases
delirium,psychiatry
delirium,psychology
delirium,neurology
pneumoperitoneum,gastroenterology
cluster headache,neurology
scabies,infectious diseases
bronchitis,pulmonology
Bálint's syndrome,neurology
astigmatism,ophthalmology
psoriasis,dermatology
metastasis,oncology
gastritis,gastroenterology
sepsis,infectious diseases
pulmonary emphysema,pulmonology
hypomania,psychiatry
hypomania,psychology
heart arrhythmia,cardiology
heart arrhythmia,rhythmology
aneurysm,vascular surgery
heart disease,cardiology
jet lag,neurology
cyst,oncology
phenylketonuria,endocrinology
dwarfism,medical genetics
cervical syndrome,rheumatology
cervical intraepithelial neoplasia,oncology
encephalitis,neurology
chronic obstructive pulmonary disease,pulmonology
varicose veins,vascular surgery
Lyme disease,cardiology
Lyme disease,neurology
Lyme disease,dermatology
Lyme disease,infectious diseases
hordeolum,ophthalmology
Turner syndrome,medical genetics
amblyopia,ophthalmology
amblyopia,optometry
anogenital venereal wart,dermatology
anogenital venereal wart,infectious diseases
binge-eating disorder,psychiatry
binge-eating disorder,psychology
binge-eating disorder,psychotherapy
delirium tremens,psychiatry
Watson syndrome,medical genetics
dysplasia,oncology
diabetic nephropathy,endocrinology
diabetic nephropathy,nephrology
splenomegaly,general surgery
granuloma,dermatology
Basuritis,gastroenterology
agenesis of the corpus callosum,neurology
coxa vara,medical genetics
diverticulum,gastroenterology
fecal incontinence,gastroenterology
Wolfram syndrome,neurology
Wolfram syndrome,medical genetics
DOOR syndrome,medical genetics
Dementia pugilistica,psychiatry
thought disorder,psychiatry
thought disorder,psychology
heat illness,emergency medicine
graft-versus-host disease,emergency medicine
Cat eye syndrome,medical genetics
xanthoma,gastroenterology
xanthoma,dermatology
dermatochalasis,medical genetics
colorectal polyp,gastroenterology
ulcer of esophagus,gastroenterology
papillomatosis,oncology
diffuse esophageal spasm,gastroenterology
distichia,medical genetics
conduction aphasia,neurology
staphylococcal skin infection,dermatology
staphylococcal skin infection,infectious diseases
hepatosplenomegaly,gastroenterology
stannosis,pulmonology
metrorrhagia,gynaecology
small intestine cancer,oncology
Schimmelpenning syndrome,medical genetics
konzo,emergency medicine
dust mite allergy,emergency medicine
brain herniation,neurology
brain herniation,neurosurgery
monocytic leukemia,oncology
hypovolemia,emergency medicine
laryngospasm,pulmonology
bone neoplasm,oncology
Dupuytren's contracture,rheumatology
Ellis–Van Creveld syndrome,medical genetics
Kostmann syndrome,hematology
tension headache,neurology
empyema,surgery
empyema,pulmonology
enterohaemorrhagic Escherichia coli infection,infectious diseases
alcohol withdrawal seizure,neurology
ependymoma,oncology
epispadias,medical genetics
Erdheim-Chester disease,oncology
erethism,medical toxicology
frostbite,emergency medicine
ovine and caprine brucellosis,infectious diseases
Ectopia cordis,medical genetics
heart conduction disease,cardiology
erythema nodosum,dermatology
erythroderma,dermatology
air embolism,diving medicine
air embolism,emergency medicine
cerebral hemorrhage,neurology
cerebral hemorrhage,neurosurgery
Q1371405,family medicine
Paraneoplastic pemphigus,dermatology
Fazio-Londe disease,neurology
Binswanger's disease,neurology
conjunctival concretion,neurology
fibromatosis,rheumatology
petechia,rheumatology
spinal cord injury,neurosurgery
spinal cord injury,emergency medicine
conjoined twins,medical genetics
bubonic plague,infectious diseases
Zollinger–Ellison syndrome,endocrinology
Cushing's syndrome,endocrinology
lactose intolerance,endocrinology
mesenteric ischemia,gastroenterology
epidemic pleurodynia,infectious diseases
precocious puberty,endocrinology
dysarthria,neuropsychology
dysarthria,speech-language pathology
dysarthria,neurology
dermatitis,family medicine
chikungunya,infectious diseases
congenital cystic adenomatoid malformation,medical genetics
cystitis,urology
bladder exstrophy,medical genetics
acute coronary syndrome,cardiology
XYY syndrome,medical genetics
mitral valve insufficiency,medical genetics
stupor,psychiatry
stupor,neurology
Accelerated phase chronic myelogenous leukemia,hematology
Accelerated phase chronic myelogenous leukemia,oncology
foodborne illness,medical toxicology
kuru,neurology
kuru,infectious diseases
Ebstein anomaly,cardiology
uveitis,ophthalmology
urinary incontinence,urology
activated protein C resistance,hematology
AAA disease,gastroenterology
Schindler disease,endocrinology
abducens nerve palsy,ophthalmology
nocturnal enuresis,psychiatry
nocturnal enuresis,psychology
ablepharon,medical genetics
survivor guilt,psychiatry
carcinoid syndrome,endocrinology
achlorhydria,gastroenterology
achylia,gastroenterology
adenocarcinoma,oncology
aspergilloma,infectious diseases
dhat syndrome,psychiatry
organic brain syndrome,psychiatry
organic brain syndrome,neuropsychiatry
XX male syndrome,medical genetics
angiomatosis,cardiology
growth hormone deficiency,endocrinology
selective mutism,psychiatry
selective mutism,psychology
African horse sickness,veterinary medicine
African horse sickness,infectious diseases
poisoning by drugs,emergency medicine
sleepwalking,sleep medicine
Agalactia,obstetrics
agrypnia excitata,neurology
mercury poisoning,emergency medicine
acanthosis nigricans,dermatology
acroparesthesia,cardiology
hypervitaminosis,endocrinology
acute abdomen,gastroenterology
Alström syndrome,neurology
Alström syndrome,ophthalmology
Alström syndrome,medical genetics
alveolitis,pulmonology
Edwards syndrome,pediatrics
Edwards syndrome,medical genetics
decompression sickness,occupational medicine
decompression sickness,hyperbaric medicine
decompression sickness,emergency medicine
health effects of tobacco,tobaccology
pearly penile papules,urology
multiple myeloma,hematology
amino acid transport disorder,endocrinology
amino acid transport disorder,medical genetics
cretinism,endocrinology
complete androgen insensitivity syndrome,endocrinology
complete androgen insensitivity syndrome,gynaecology
intestinal parasite infection,infectious diseases
kyphosis,rheumatology
paramyotonia congenita,neurology
experimental autoimmune encephalomyelitis,neurology
experimental autoimmune encephalomyelitis,immunology
Todd's paresis,neurology
sucrose intolerance,endocrinology
hibernoma,oncology
gigantism,endocrinology
neurasthenia,psychiatry
neurasthenia,psychology
neurasthenia,psychotherapy
psoriatic arthritis,immunology
psoriatic arthritis,rheumatology
tetany,neurology
tetany,endocrinology
hamartoma,pathology
hamartoma,medical genetics
puerperal infection,obstetrics
Gradenigo's syndrome,otolaryngology
Aplasia cutis congenita,medical genetics
hallux rigidus,rheumatology
Aortoiliac occlusive disease,cardiology
catatonic schizophrenia,psychiatry
focal nodular hyperplasia,gastroenterology
arteriosclerotic heart disease,cardiology
Fregoli delusion,psychiatry
Fregoli delusion,psychotherapy
Madelung's deformity,medical genetics
schizencephaly,neurology
schizencephaly,medical genetics
Keratoglobus,medical genetics
hypertriglyceridemia,endocrinology
micropenis,medical genetics
apparent life-threatening event syndrome,pulmonology
Müllerian agenesis,medical genetics
osteoid osteoma,oncology
lipid metabolism disorder,endocrinology
encephalopathy due to GLUT1 deficiency,medical genetics
hydrops of gallbladder,gastroenterology
Biliary sludge,gastroenterology
pulmonary cyst,pulmonology
atrial flutter,cardiology
hemoperitoneum,gastroenterology
parakeratosis,dermatology
pigeon toe,medical genetics
vitreous hemorrhage,ophthalmology
Oculo-facial-cardio-dental syndrome,medical genetics
parkinsonian syndrome,neurology
genu varum,medical genetics
multiple endocrine neoplasia,endocrinology
congenital aplasia of the vas deferens,medical genetics
nephroptosis,urology
nephroptosis,nephrology
venous ulcer,dermatology
trichophagia,psychiatry
trichophagia,psychology
conductive hearing loss,otolaryngology
pseudolymphoma,angiology
Spermaturia,urology
Spermaturia,andrology
Reflux nephropathy,nephrology
Post-transplant lymphoproliferative disorder,immunology
polysyndactyly,medical genetics
Cutaneous larva migrans,infectious diseases
heparin-induced thrombocytopenia,hematology
retroperitoneal fibrosis,urology
herpesviral encephalitis,infectious diseases
hypervolemia,endocrinology
hyper IgM syndrome,immunology
brainstem disease,neurology
hirsutism,dermatology
sialolithiasis,oral surgery
Mallory–Weiss syndrome,gastroenterology
Labial fusion,medical genetics
hyperkeratosis,dermatology
Marie Unna hereditary hypotrichosis,medical genetics
osteonecrosis of the femoral head,rheumatology
ideomotor apraxia,neurology
intercostal neuralgia,neurology
fructose malabsorption,endocrinology
intrauterine growth restriction,pediatrics
intrauterine growth restriction,obstetrics
Bardet-Biedl syndrome,medical genetics
vesicle,emergency medicine
Freiberg disease,orthopedics
Freiberg disease,rheumatology
Gardner's syndrome,gastroenterology
Gardner's syndrome,oncology
Gardner's syndrome,medical genetics
Salter–Harris fracture,orthopedic surgery
normal pressure hydrocephalus,neurology
cardiomegaly,cardiology
carcinoid tumor,endocrinology
receptive aphasia,neurology
clavicle fracture,emergency medicine
polymyalgia rheumatica,rheumatology
pathologic fracture,rheumatology
rheumatoid nodule,rheumatology
Pierre Robin syndrome,medical genetics
medication overuse headache,neurology
Onychotillomania,psychiatry
pseudarthrosis,rheumatology
transposition of great vessels,medical genetics
microtia,medical genetics
trigonocephaly,medical genetics
deep vein thrombosis,cardiology
Malum perforans,dermatology
septic shock,intensive care medicine
septic shock,infectious diseases
cryopyrin-associated periodic syndrome,dermatology
cryopyrin-associated periodic syndrome,medical genetics
knee osteoarthritis,rheumatology
sacrococcygeal teratoma,oncology
contrast-induced nephropathy,nephrology
levo-transposition of the great arteries,medical genetics
idiopathic interstitial pneumonia,pulmonology
Meigs syndrome,gynecologic oncology
cystic nephroma,oncology
delta thalassemia,hematology
dentin dysplasia,gastroenterology
denture stomatitis,gastroenterology
dermatopathia pigmentosa reticularis,medical genetics
desmoplastic small-round-cell tumor,oncology
Diastasis symphysis pubis,obstetrics and gynaecology
Diastasis symphysis pubis,rheumatology
dientamoebiasis,infectious diseases
distal muscular dystrophy,neurology
diurnal enuresis,obstetrics and gynaecology
diurnal enuresis,urology
EEM syndrome,medical genetics
ectrodactyly–ectodermal dysplasia–cleft syndrome,medical genetics
Micromastia,medical genetics
embryonal rhabdomyosarcoma,oncology
enchondromatosis,medical genetics
Endocrine bone disease,endocrinology
Endocrine bone disease,rheumatology
endogenous depression,psychiatry
Epidermal nevus syndrome,dermatology
Epidermal nevus syndrome,medical genetics
epidermolysis bullosa herpetiformis,medical genetics
epithelioid sarcoma,oncology
esophageal candidiasis,infectious diseases
linear IgA bullous dermatosis,immunology
linear IgA bullous dermatosis,dermatology
phacolytic glaucoma,ophthalmology
congenital toxoplasmosis,neurology
congenital toxoplasmosis,pediatrics
congenital toxoplasmosis,infectious diseases
familial dysalbuminemic hyperthyroxinemia,pediatrics
familial dysalbuminemic hyperthyroxinemia,endocrinology
familial partial lipodystrophy,endocrinology
familial partial lipodystrophy,dermatology
Fatty-acid metabolism disorder,endocrinology
Fibrocartilaginous mesenchymoma of bone,oncology
fibroepithelial neoplasms,oncology
first arch syndrome,medical genetics
Floating-Harbor syndrome,medical genetics
focal dermal hypoplasia,medical genetics
Foix–Alajouanine syndrome,neurology
Frasier syndrome,obstetrics and gynaecology
Frasier syndrome,urology
Frasier syndrome,endocrinology
Frasier syndrome,medical genetics
galactokinase deficiency,endocrinology
Gartner's duct cyst,medical genetics
Gelastic seizure,neurology
Generalized pustular psoriasis,dermatology
geniculate ganglionitis,neurology
geotrichosis,infectious diseases
gerodermia osteodysplastica,medical genetics
Giant platelet disorder,hematology
pulmonary alveolar microlithiasis,pulmonology
gingival disease,oral and maxillofacial surgery
Glassy cell carcinoma of the cervix,oncology
glomerulosclerosis,urology
glucose-galactose malabsorption,endocrinology
gonadal tissue neoplasms,oncology
Gonadotropin-resistant ovary syndrome,gynaecology
Gonococcemia,infectious diseases
Graham-Little syndrome,dermatology
granulomatous amebic encephalitis,infectious diseases
Granulomatous mastitis,obstetrics and gynaecology
Granulomatous mastitis,dermatology
tinea pedis,infectious diseases
HIV-associated lipodystrophy,immunology
HIV-associated lipodystrophy,endocrinology
HIV-associated lipodystrophy,dermatology
HIV-associated lipodystrophy,infectious diseases
Haim–Munk syndrome,medical genetics
hawkinsinuria,endocrinology
Heart valve dysplasia,cardiology
hemangioendothelioma,oncology
Hepatosplenic T-cell lymphoma,oncology
rhinoscleroma,infectious diseases
histiocytic sarcoma,oncology
histiocytic sarcoma,angiology
histiocytoma,oncology
mediastinal cancer,oncology
lacrimal duct obstruction,ophthalmology
congenital merosin-deficient muscular dystrophy 1A,neurology
fundus dystrophy,ophthalmology
neonatal hypoxic-ischemic  encephalopathy,pediatrics
endotoxemia,infectious diseases
streptococcal infection,infectious diseases
hookworm disease,infectious diseases
hyperphenylalaninemia,endocrinology
ileocolitis,gastroenterology
Howel–Evans syndrome,medical genetics
inflammatory breast cancer,oncology
inflammatory breast cancer,dermatology
hydroa vacciniforme,dermatology
hydrolethalus syndrome,medical genetics
hypoalphalipoproteinemia,endocrinology
Hypoestrogenism,endocrinology
hypoglossia,medical genetics
precursor B-cell lymphoblastic leukemia,oncology
Ichthyosis follicularis with alopecia and photophobia syndrome,medical genetics
Ichthyosis hystrix,medical genetics
Idiopathic pure sudomotor failure,dermatology
Çopur,dermatology
infantile myofibromatosis,oncology
Infantile neuroaxonal dystrophy,neurology
Infantile systemic hyalinosis,dermatology
Infantile systemic hyalinosis,medical genetics
Intervertebral disc disorder,rheumatology
intraocular lymphoma,immunology
intraocular lymphoma,oncology
intraocular lymphoma,angiology
Inverse psoriasis,dermatology
toxemia,infectious diseases
thrombocytopenic purpura,immunology
thrombocytopenic purpura,hematology
seizure,neurology
seizure,epileptology
Kohlschütter-Tönz syndrome,neurology
lacunar stroke,neurology
Ladd's bands,gastroenterology
large-cell lymphoma,oncology
Lentigo maligna melanoma,oncology
Lentigo maligna melanoma,dermatology
lichen myxedematosus,dermatology
lichen striatus,dermatology
Limb–mammary syndrome,medical genetics
Localized lichen myxedematosus,dermatology
malignant acrospiroma,oncology
malignant pleural effusion,oncology
mast cell leukemia,oncology
medullary carcinoma,oncology
melanosis,dermatology
metabolic bone disease,endocrinology
metabolic bone disease,rheumatology
mitochondrial myopathy,neurology
Mollaret's meningitis,infectious diseases
Mucinous carcinoma,oncology
mucinous cystadenoma,oncology
Multifocal motor neuropathy,neurology
myocardial ischemia,cardiology
fasciolosis,infectious diseases
fasciolosis,helminthologist
Neonatal lupus erythematosus,immunology
Neonatal lupus erythematosus,dermatology
neonatal abstinence syndrome,pediatrics
neurogenic inflammation,neurology
Neurothekeoma,oncology
Neutrophilic eccrine hidradenitis,dermatology
Nevi and melanomas,oncology
Nevus of Ito,oncology
No reflow phenomenon,cardiology
cholelithiasis,gastroenterology
odontogenic cyst,oncology
Ectopia lentis,medical genetics
lipoblastoma,oncology
lipedema,rheumatology
lipedema,angiology
insomnia,psychiatry
insomnia,neurology
Kienbock's disease,plastic surgery
Kienbock's disease,rheumatology
Kienbock's disease,orthopedic surgery
solitary pulmonary nodule,pulmonology
Congenital pulmonary venous return anomaly,medical genetics
toxic epidermal necrolysis,dermatology
lymphocele,cardiology
madarosis,ophthalmology
retrognathism,gastroenterology
May–Hegglin anomaly,hematology
middle cerebral artery infarction,neurology
alpha chain disease,immunology
alpha chain disease,hematology
alpha chain disease,gastroenterology
alpha chain disease,oncology
alpha chain disease,angiology
medullary cystic kidney disease,medical genetics
Milker's nodule,infectious diseases
meningeal carcinomatosis,neurology
meningeal carcinomatosis,oncology
microscopic polyangiitis,immunology
microscopic polyangiitis,rheumatology
Milium,dermatology
neurofibromatosis type II,neurology
neurofibromatosis type II,medical genetics
Cushing's disease,endocrinology
Morton's neuroma,neurology
hereditary multiple exostoses,medical genetics
proximal myotonic myopathy,neurology
pentosuria,endocrinology
oligomenorrhea,gynaecology
Nonossifying fibroma,rheumatology
non-odontogenic cyst,oncology
non-odontogenic cyst,rheumatology
non-odontogenic cyst,oral and maxillofacial surgery
pudendal nerve entrapment,neurology
renal pelvis carcinoma,oncology
chronic pancreatitis,gastroenterology
livedo reticularis,cardiology
livedo reticularis,dermatology
obstructive uropathy,urology
ocular albinism type 1,endocrinology
iron overload,medical genetics
vibration white finger,cardiology
vibration white finger,neurology
osteochondroma,oncology
aspirin-exacerbated respiratory disease,pulmonology
Haff disease,emergency medicine
Van Buchem disease,rheumatology
Patella bipartita,medical genetics
microscopic colitis,gastroenterology
Bulbar palsy,neurology
rectal prolapse,gastroenterology
pleomorphic adenoma,oncology
"Niemann–Pick disease, type C",neurology
"Niemann–Pick disease, type C",endocrinology
peritoneal carcinomatosis,oncology
myocardial stunning,cardiology
cytomegaloviral disease,obstetrics and gynaecology
cytomegaloviral disease,pediatrics
cytomegaloviral disease,infectious diseases
B-cell prolymphocytic leukemia,immunology
B-cell prolymphocytic leukemia,oncology
B-cell prolymphocytic leukemia,angiology
Phototoxicity,dermatology
hemosiderosis,endocrinology
pinealoblastoma,oncology
porcelain gallbladder,gastroenterology
porcelain gallbladder,hepatology
pseudopterygium,neurology
lateral medullary syndrome,neurology
glutaric aciduria type 1,endocrinology
chilblains,family medicine
synostosis,rheumatology
restrictive cardiomyopathy,cardiology
Teratospermia,urology
erythema ab igne,dermatology
chronic granulomatous disease,immunology
Acrodynia,emergency medicine
tooth ankylosis,gastroenterology
sacroiliitis,rheumatology
pseudoporphyria,endocrinology
postviral fatigue syndrome,neurology
plantar wart,infectious diseases
intestinal capillariasis,infectious diseases
intestinal capillariasis,helminthology
subacute bacterial endocarditis,cardiology
androgenic alopecia,dermatology
progressive muscular atrophy,neurology
dentatorubral-pallidoluysian atrophy,neurology
Shy-Drager syndrome,cardiology
Shy-Drager syndrome,neurology
hemiparesis,neurology
scaphocephaly,medical genetics
spastic hemiplegia,neurology
spinal disease,rheumatology
Squamous odontogenic tumor,oncology
status migrainosus,neurology
stenosing tenosynovitis,rheumatology
stiff skin syndrome,medical genetics
neurofibromatosis type I,neurology
neurofibromatosis type I,medical genetics
Streptococcal intertrigo,dermatology
Subacute cutaneous lupus erythematosus,dermatology
subcutaneous fat necrosis of the newborn,pediatrics
substance use disorder,psychiatry
substance use disorder,clinical psychology
substance use disorder,narcology
subvalvular aortic stenosis,cardiology
supraventricular extrasystole,cardiology
T-cell lymphoma,immunology
T-cell lymphoma,oncology
T-cell lymphoma,angiology
Taussig–Bing syndrome,medical genetics
tetrahydrobiopterin deficiency,endocrinology
night blindness,ophthalmology
Thyroid dyshormonogenesis,endocrinology
toxic encephalopathy,neurology
transfusion hemosiderosis,emergency medicine
Traumatic bone cyst,gastroenterology
Trevor's disease,medical genetics
Trichilemmoma,oncology
Trichilemmoma,dermatology
tricho–dento–osseous syndrome,gastroenterology
Ulnar collateral ligament injury,orthopedics
Urban–Rogers–Meyer syndrome,medical genetics
Ureaplasma infection,infectious diseases
urogenital neoplasm,oncology
urogenital neoplasm,genitourinary oncology
ventilator-associated pneumonia,pulmonology
verruca plana,dermatology
Vohwinkel syndrome,medical genetics
Vulvar vestibulitis,obstetrics and gynaecology
Wrinkly skin syndrome,dermatology
Wrinkly skin syndrome,rheumatology
X-linked congenital stationary night blindness,ophthalmology
X-linked intellectual disability,neurology
X-linked intellectual disability,medical genetics
X-linked recessive chondrodysplasia punctata,medical genetics
Zimmermann–Laband syndrome,medical genetics
pancreatic ductal carcinoma,oncology
allescheriosis,infectious diseases
MURCS association,medical genetics
eunuchism,endocrinology
spotted fever,infectious diseases
tonsil cancer,oncology
tongue cancer,oncology
brain cancer,neurology
brain cancer,oncology
cenesthopathic schizophrenia,psychiatry
Neuropsychiatric systemic lupus erythematosus,cardiology
Neuropsychiatric systemic lupus erythematosus,neurology
Neuropsychiatric systemic lupus erythematosus,immunology
Neuropsychiatric systemic lupus erythematosus,rheumatology
myxopapillary ependymoma,oncology
overactive disorder associated with mental retardation and stereotyped movements,psychiatry
Hoyeraal-Hreidarsson syndrome,medical genetics
Sheldon-Hall syndrome,medical genetics
venous thromboembolism,cardiology
congenital bile acid synthesis defect,gastroenterology
decalcification,endocrinology
decalcification,rheumatology
nose disease,otolaryngology
psychosomatic disease,psychiatry
psychosomatic disease,psychosomatic medicine
gingival fibromatosis,oral and maxillofacial surgery
drug-induced hepatitis,gastroenterology
hyperlysinemia,endocrinology
Health effects of pesticides,emergency medicine
benign lymphoepithelial lesion of salivary gland,gastroenterology
psoriatic erythroderma,dermatology
language disorder,psychiatry
corneal disease,neurology
hyperandrogenism,obstetrics and gynaecology
hyperandrogenism,endocrinology
chronic pyelonephritis,urology
megalencephaly,neurology
megalencephaly,pediatrics
megalencephaly,medical genetics
piedra,infectious diseases
threatened abortion,obstetrics and gynaecology
Q10922432,otolaryngology
Q10922432,traditional Chinese medicine
Paradental cyst,oncology
Paradental cyst,rheumatology
Paradental cyst,oral and maxillofacial surgery
cutaneous candidiasis,dermatology
cutaneous candidiasis,infectious diseases
ocular motility disease,neurology
hard palate cancer,oncology
bile duct carcinoma,gastroenterology
bile duct carcinoma,oncology
impaired renal function disease,urology
Shenkui,psychiatry
radioulnar synostosis,medical genetics
neurodegeneration with brain iron accumulation,neurology
Intestinal varices,cardiology
Locked twins,obstetrics
Serratia infection,infectious diseases
Hereditary sclerosing poikiloderma,dermatology
melanotic neuroectodermal tumor,oncology
orthostatic proteinuria,urology
Junctional nevus,oncology
autosomal recessive distal spinal muscular atrophy 2,neurology
Periorbital hyperpigmentation,dermatology
organ perforation,emergency medicine
Acquired idiopathic generalized anhidrosis,dermatology
urinothorax,pulmonology
Tight hymenal ring,urology
Microgyrus,neurology
Microgyrus,medical genetics
cervical agenesis,gynaecology
